"","date","region","deaths"
"1","2021-02-10","United Kingdom",167
"2","2021-02-09","United Kingdom",371
"3","2021-02-08","United Kingdom",558
"4","2021-02-07","United Kingdom",532
"5","2021-02-06","United Kingdom",571
"6","2021-02-05","United Kingdom",633
"7","2021-02-04","United Kingdom",654
"8","2021-02-03","United Kingdom",804
"9","2021-02-02","United Kingdom",811
"10","2021-02-01","United Kingdom",861
"11","2021-01-31","United Kingdom",849
"12","2021-01-30","United Kingdom",882
"13","2021-01-29","United Kingdom",1038
"14","2021-01-28","United Kingdom",1084
"15","2021-01-27","United Kingdom",1099
"16","2021-01-26","United Kingdom",1047
"17","2021-01-25","United Kingdom",1151
"18","2021-01-24","United Kingdom",1139
"19","2021-01-23","United Kingdom",1149
"20","2021-01-22","United Kingdom",1228
"21","2021-01-21","United Kingdom",1232
"22","2021-01-20","United Kingdom",1279
"23","2021-01-19","United Kingdom",1353
"24","2021-01-18","United Kingdom",1289
"25","2021-01-17","United Kingdom",1257
"26","2021-01-16","United Kingdom",1298
"27","2021-01-15","United Kingdom",1221
"28","2021-01-14","United Kingdom",1208
"29","2021-01-13","United Kingdom",1210
"30","2021-01-12","United Kingdom",1204
"31","2021-01-11","United Kingdom",1126
"32","2021-01-10","United Kingdom",1088
"33","2021-01-09","United Kingdom",1017
"34","2021-01-08","United Kingdom",982
"35","2021-01-07","United Kingdom",988
"36","2021-01-06","United Kingdom",927
"37","2021-01-05","United Kingdom",905
"38","2021-01-04","United Kingdom",835
"39","2021-01-03","United Kingdom",755
"40","2021-01-02","United Kingdom",751
"41","2021-01-01","United Kingdom",744
"42","2020-12-31","United Kingdom",751
"43","2020-12-30","United Kingdom",719
"44","2020-12-29","United Kingdom",657
"45","2020-12-28","United Kingdom",675
"46","2020-12-27","United Kingdom",643
"47","2020-12-26","United Kingdom",651
"48","2020-12-25","United Kingdom",607
"49","2020-12-24","United Kingdom",583
"50","2020-12-23","United Kingdom",563
"51","2020-12-22","United Kingdom",564
"52","2020-12-21","United Kingdom",574
"53","2020-12-20","United Kingdom",503
"54","2020-12-19","United Kingdom",486
"55","2020-12-18","United Kingdom",513
"56","2020-12-17","United Kingdom",534
"57","2020-12-16","United Kingdom",434
"58","2020-12-15","United Kingdom",456
"59","2020-12-14","United Kingdom",480
"60","2020-12-13","United Kingdom",417
"61","2020-12-12","United Kingdom",436
"62","2020-12-11","United Kingdom",450
"63","2020-12-10","United Kingdom",444
"64","2020-12-09","United Kingdom",428
"65","2020-12-08","United Kingdom",434
"66","2020-12-07","United Kingdom",420
"67","2020-12-06","United Kingdom",418
"68","2020-12-05","United Kingdom",396
"69","2020-12-04","United Kingdom",475
"70","2020-12-03","United Kingdom",470
"71","2020-12-02","United Kingdom",386
"72","2020-12-01","United Kingdom",402
"73","2020-11-30","United Kingdom",421
"74","2020-11-29","United Kingdom",459
"75","2020-11-28","United Kingdom",464
"76","2020-11-27","United Kingdom",424
"77","2020-11-26","United Kingdom",430
"78","2020-11-25","United Kingdom",484
"79","2020-11-24","United Kingdom",458
"80","2020-11-23","United Kingdom",463
"81","2020-11-22","United Kingdom",473
"82","2020-11-21","United Kingdom",463
"83","2020-11-20","United Kingdom",450
"84","2020-11-19","United Kingdom",461
"85","2020-11-18","United Kingdom",485
"86","2020-11-17","United Kingdom",440
"87","2020-11-16","United Kingdom",423
"88","2020-11-15","United Kingdom",451
"89","2020-11-14","United Kingdom",427
"90","2020-11-13","United Kingdom",431
"91","2020-11-12","United Kingdom",419
"92","2020-11-11","United Kingdom",387
"93","2020-11-10","United Kingdom",387
"94","2020-11-09","United Kingdom",480
"95","2020-11-08","United Kingdom",414
"96","2020-11-07","United Kingdom",389
"97","2020-11-06","United Kingdom",402
"98","2020-11-05","United Kingdom",374
"99","2020-11-04","United Kingdom",329
"100","2020-11-03","United Kingdom",361
"101","2020-11-02","United Kingdom",330
"102","2020-11-01","United Kingdom",358
"103","2020-10-31","United Kingdom",319
"104","2020-10-30","United Kingdom",338
"105","2020-10-29","United Kingdom",310
"106","2020-10-28","United Kingdom",283
"107","2020-10-27","United Kingdom",266
"108","2020-10-26","United Kingdom",277
"109","2020-10-25","United Kingdom",247
"110","2020-10-24","United Kingdom",213
"111","2020-10-23","United Kingdom",222
"112","2020-10-22","United Kingdom",234
"113","2020-10-21","United Kingdom",222
"114","2020-10-20","United Kingdom",194
"115","2020-10-19","United Kingdom",191
"116","2020-10-18","United Kingdom",159
"117","2020-10-17","United Kingdom",176
"118","2020-10-16","United Kingdom",147
"119","2020-10-15","United Kingdom",151
"120","2020-10-14","United Kingdom",115
"121","2020-10-13","United Kingdom",110
"122","2020-10-12","United Kingdom",112
"123","2020-10-11","United Kingdom",122
"124","2020-10-10","United Kingdom",103
"125","2020-10-09","United Kingdom",79
"126","2020-10-08","United Kingdom",92
"127","2020-10-07","United Kingdom",101
"128","2020-10-06","United Kingdom",70
"129","2020-10-05","United Kingdom",70
"130","2020-10-04","United Kingdom",60
"131","2020-10-03","United Kingdom",66
"132","2020-10-02","United Kingdom",68
"133","2020-10-01","United Kingdom",66
"134","2020-09-30","United Kingdom",57
"135","2020-09-29","United Kingdom",48
"136","2020-09-28","United Kingdom",54
"137","2020-09-27","United Kingdom",47
"138","2020-09-26","United Kingdom",39
"139","2020-09-25","United Kingdom",32
"140","2020-09-24","United Kingdom",35
"141","2020-09-23","United Kingdom",56
"142","2020-09-22","United Kingdom",39
"143","2020-09-21","United Kingdom",27
"144","2020-09-20","United Kingdom",31
"145","2020-09-19","United Kingdom",20
"146","2020-09-18","United Kingdom",23
"147","2020-09-17","United Kingdom",27
"148","2020-09-16","United Kingdom",26
"149","2020-09-15","United Kingdom",18
"150","2020-09-14","United Kingdom",21
"151","2020-09-13","United Kingdom",16
"152","2020-09-12","United Kingdom",18
"153","2020-09-11","United Kingdom",13
"154","2020-09-10","United Kingdom",13
"155","2020-09-09","United Kingdom",9
"156","2020-09-08","United Kingdom",9
"157","2020-09-07","United Kingdom",15
"158","2020-09-06","United Kingdom",8
"159","2020-09-05","United Kingdom",13
"160","2020-09-04","United Kingdom",7
"161","2020-09-03","United Kingdom",10
"162","2020-09-02","United Kingdom",9
"163","2020-09-01","United Kingdom",3
"164","2020-08-31","United Kingdom",9
"165","2020-08-30","United Kingdom",6
"166","2020-08-29","United Kingdom",5
"167","2020-08-28","United Kingdom",10
"168","2020-08-27","United Kingdom",8
"169","2020-08-26","United Kingdom",11
"170","2020-08-25","United Kingdom",12
"171","2020-08-24","United Kingdom",6
"172","2020-08-23","United Kingdom",14
"173","2020-08-22","United Kingdom",8
"174","2020-08-21","United Kingdom",7
"175","2020-08-20","United Kingdom",8
"176","2020-08-19","United Kingdom",3
"177","2020-08-18","United Kingdom",9
"178","2020-08-17","United Kingdom",12
"179","2020-08-16","United Kingdom",4
"180","2020-08-15","United Kingdom",12
"181","2020-08-14","United Kingdom",7
"182","2020-08-13","United Kingdom",9
"183","2020-08-12","United Kingdom",7
"184","2020-08-11","United Kingdom",10
"185","2020-08-10","United Kingdom",13
"186","2020-08-09","United Kingdom",8
"187","2020-08-08","United Kingdom",14
"188","2020-08-07","United Kingdom",13
"189","2020-08-06","United Kingdom",9
"190","2020-08-05","United Kingdom",6
"191","2020-08-04","United Kingdom",14
"192","2020-08-03","United Kingdom",15
"193","2020-08-02","United Kingdom",10
