"","date","areaName","areaCode","newCasesByPublishDate","newDeathsByDeathDate","newAdmissions","newPeopleVaccinatedFirstDoseByPublishDate","newPeopleVaccinatedSecondDoseByPublishDate"
"1","2021-05-19","United Kingdom","K02000001",2696,NA,NA,NA,NA
"2","2021-05-18","United Kingdom","K02000001",2412,NA,NA,174100,324001
"3","2021-05-17","United Kingdom","K02000001",1979,NA,NA,106733,259049
"4","2021-05-16","United Kingdom","K02000001",1926,NA,NA,131318,183745
"5","2021-05-15","United Kingdom","K02000001",2027,NA,89,237331,391246
"6","2021-05-14","United Kingdom","K02000001",2193,NA,94,220068,393402
"7","2021-05-13","United Kingdom","K02000001",2657,NA,101,209284,428041
"8","2021-05-12","United Kingdom","K02000001",2284,NA,116,184210,452437
"9","2021-05-11","United Kingdom","K02000001",2474,NA,103,135113,350147
"10","2021-05-10","United Kingdom","K02000001",2357,NA,104,115053,231835
"11","2021-05-09","United Kingdom","K02000001",1770,NA,102,100626,187171
"12","2021-05-08","United Kingdom","K02000001",2047,NA,106,169027,438837
"13","2021-05-07","United Kingdom","K02000001",2490,NA,102,133001,465822
"14","2021-05-06","United Kingdom","K02000001",2613,NA,120,135470,473001
"15","2021-05-05","United Kingdom","K02000001",2144,NA,117,139097,404226
"16","2021-05-04","United Kingdom","K02000001",1946,NA,101,127170,257486
"17","2021-05-03","United Kingdom","K02000001",1649,NA,123,72600,127499
"18","2021-05-02","United Kingdom","K02000001",1671,NA,119,89924,172891
"19","2021-05-01","United Kingdom","K02000001",1907,NA,99,143175,372304
"20","2021-04-30","United Kingdom","K02000001",2381,NA,110,145589,421785
"21","2021-04-29","United Kingdom","K02000001",2445,NA,100,122568,491567
"22","2021-04-28","United Kingdom","K02000001",2166,NA,108,134140,462885
"23","2021-04-27","United Kingdom","K02000001",2685,NA,166,116328,379265
"24","2021-04-26","United Kingdom","K02000001",2064,NA,133,90695,304688
"25","2021-04-25","United Kingdom","K02000001",1712,NA,137,79695,260801
"26","2021-04-24","United Kingdom","K02000001",2061,NA,128,148767,547636
"27","2021-04-23","United Kingdom","K02000001",2678,NA,155,135786,465015
"28","2021-04-22","United Kingdom","K02000001",2729,NA,119,130986,431070
"29","2021-04-21","United Kingdom","K02000001",2396,NA,171,117909,416784
"30","2021-04-20","United Kingdom","K02000001",2524,NA,134,107622,350027
"31","2021-04-19","United Kingdom","K02000001",2963,NA,176,99672,273751
"32","2021-04-18","United Kingdom","K02000001",1882,NA,141,83225,221193
"33","2021-04-17","United Kingdom","K02000001",2206,NA,157,139445,499635
"34","2021-04-16","United Kingdom","K02000001",2596,NA,157,135557,499664
"35","2021-04-15","United Kingdom","K02000001",2672,NA,161,129782,417683
"36","2021-04-14","United Kingdom","K02000001",2491,NA,196,117835,343783
"37","2021-04-13","United Kingdom","K02000001",2472,NA,181,76123,312685
"38","2021-04-12","United Kingdom","K02000001",3568,NA,205,59905,201191
"39","2021-04-11","United Kingdom","K02000001",1730,NA,202,69223,189665
"40","2021-04-10","United Kingdom","K02000001",2589,NA,183,111109,475230
"41","2021-04-09","United Kingdom","K02000001",3150,NA,204,106878,450136
"42","2021-04-08","United Kingdom","K02000001",3030,NA,206,96242,449269
"43","2021-04-07","United Kingdom","K02000001",2763,NA,234,99530,408396
"44","2021-04-06","United Kingdom","K02000001",2379,NA,222,85227,186793
"45","2021-04-05","United Kingdom","K02000001",2762,NA,234,40744,64590
"46","2021-04-04","United Kingdom","K02000001",2297,NA,197,48055,47708
"47","2021-04-03","United Kingdom","K02000001",3423,NA,222,107886,178913
"48","2021-04-02","United Kingdom","K02000001",3402,NA,237,107420,246631
"49","2021-04-01","United Kingdom","K02000001",4479,NA,234,170818,445416
"50","2021-03-31","United Kingdom","K02000001",4052,NA,269,239434,387574
"51","2021-03-30","United Kingdom","K02000001",4040,NA,256,225917,277682
"52","2021-03-29","United Kingdom","K02000001",4654,NA,250,236809,168230
"53","2021-03-28","United Kingdom","K02000001",3862,NA,272,293548,147594
"54","2021-03-27","United Kingdom","K02000001",4715,NA,270,424301,238861
"55","2021-03-26","United Kingdom","K02000001",6187,NA,298,411305,283654
"56","2021-03-25","United Kingdom","K02000001",6397,NA,338,324942,234382
"57","2021-03-24","United Kingdom","K02000001",5605,NA,348,337665,242642
"58","2021-03-23","United Kingdom","K02000001",5379,NA,367,325650,169155
"59","2021-03-22","United Kingdom","K02000001",5342,NA,360,329897,82300
"60","2021-03-21","United Kingdom","K02000001",5312,NA,357,367006,52612
"61","2021-03-20","United Kingdom","K02000001",5587,NA,364,752308,91977
"62","2021-03-19","United Kingdom","K02000001",4802,NA,381,614930,125725
"63","2021-03-18","United Kingdom","K02000001",6303,NA,449,528260,132016
"64","2021-03-17","United Kingdom","K02000001",5758,NA,446,462246,119609
"65","2021-03-16","United Kingdom","K02000001",5294,NA,440,433320,95799
"66","2021-03-15","United Kingdom","K02000001",5089,NA,500,386685,53366
"67","2021-03-14","United Kingdom","K02000001",4618,NA,425,257010,25371
"68","2021-03-13","United Kingdom","K02000001",5534,NA,461,512108,52155
"69","2021-03-12","United Kingdom","K02000001",6609,NA,480,369578,87676
"70","2021-03-11","United Kingdom","K02000001",6753,NA,550,260809,93563
"71","2021-03-10","United Kingdom","K02000001",5926,NA,567,243887,97162
